[TRACE  ][0][2013-05-17T14:57:30.640119]:[5868]: Player: '', action: 'ShowCards', cards: '' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:30.656120]:[2792]: Player: 'The Major-22', stack: '1370' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:30.660120]:[2792]: Player: 'The Major-22', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:32.379219]:[5868]: Player: 'Mr. yarddog', action: 'ShowCards', cards: 'KdTh' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:32.387219]:[5868]: Player: 'jclark468', action: 'ShowCards', cards: 'TdKs' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:33.994311]:[2792]: Player: 'Capt11111', stack: '2050' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:33.996311]:[2792]: Player: 'Capt11111', action: 'Call', amount: '25' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:35.238382]:[5868]: Player: 'jon1956', stack: '1420' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T14:57:35.238382]:[5868]: Player: 'olegjet727', stack: '5305' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T14:57:35.239382]:[5868]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T14:57:35.240382]:[5868]: Player: 'jon1956', action: 'SmallBlind', amount: '25' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T14:57:35.242382]:[5868]: Player: 'olegjet727', action: 'BigBlind', amount: '50' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-17T14:57:35.247383]:[5868]: Player cards: ('Jack' of 'Spades')('Eight' of 'Diamonds') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-05-17T14:57:37.543514]:[2792]: Player: 'sganafrost', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:38.446566]:[2792]: Cards received: ('Ace' of 'Hearts')('Ten' of 'Clubs')('Nine' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-17T14:57:38.468567]:[5720]: Player: 'Gabidon555', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:38.746583]:[5868]: Player: 'AZORPB', stack: '1755' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:38.746583]:[5868]: Player: 'AZORPB', action: 'Call', amount: '50' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:41.045714]:[2792]: Player: 'Capt11111', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:44.234897]:[5720]: Player: 'Gabidon555', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:44.515913]:[5720]: Player: 'ScrivoMike', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:45.224953]:[5720]: Player: 'BAD042', stack: '1485' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:45.226954]:[5720]: Player: 'BAD042', action: 'Call', amount: '50' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:46.846046]:[5868]: Player: 'CLRN', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:48.200124]:[5720]: Player: 'MOESFRED', stack: '1975' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:48.202124]:[5720]: Player: 'MOESFRED', action: 'Call', amount: '25' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:48.964167]:[2792]: Player: 'sganafrost', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:49.207181]:[5868]: Player: 'CLRN', stack: '1200' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:49.208181]:[5868]: Player: 'CLRN', action: 'Call', amount: '50' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:49.491197]:[5868]: Player: 'jclark468', stack: '7670' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:49.492198]:[5868]: Player: 'jclark468', action: 'Call', amount: '50' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:51.343303]:[2792]: Player: 'kvasilev71', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:51.507313]:[2792]: Cards received: ('Ace' of 'Hearts')('Ten' of 'Clubs')('Nine' of 'Diamonds')('Seven' of 'Clubs') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-17T14:57:52.081346]:[5868]: Player: 'georgio06370', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:52.353361]:[5868]: Player: 'Mr. yarddog', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:52.367362]:[5868]: Player: 'jon1956', stack: '1575' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:52.369362]:[5868]: Player: 'jon1956', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:54.268471]:[5868]: Player: 'olegjet727', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:54.549487]:[2792]: Player: 'Capt11111', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:54.830503]:[5720]: Player: 'poppycat1234', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:54.888506]:[5868]: Cards received: ('Six' of 'Diamonds')('Four' of 'Spades')('Four' of 'Clubs') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-17T14:57:55.448538]:[5720]: Cards received: ('Four' of 'Spades')('Ace' of 'Clubs')('Nine' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-17T14:57:55.969568]:[5868]: Player: 'olegjet727', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:57.879677]:[2792]: Player: 'sganafrost', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:58.097690]:[5868]: Player: 'AZORPB', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:59.740784]:[2792]: Player: 'kvasilev71', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
