[TRACE  ][0][2013-03-18T16:10:13.486995]:[2272]: Player: 'nevskij777', action: 'ShowCards', cards: '7c7s' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:13.490995]:[2272]: Player: 'finito2601', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:13.492995]:[2272]: Player: 'finito2601', action: 'ShowCards', cards: 'AhJd' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:14.081029]:[2272]: Player: 'nevskij777', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:14.082029]:[2272]: Player: 'nevskij777', action: 'Rank', amount: '9' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:19.448336]:[2272]: Player: 'csabi1790930', stack: '496' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.448336]:[2272]: Player: 'CLRN', stack: '486' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.448336]:[2272]: Player: 'londrax', stack: '476' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.448336]:[2272]: Player: 'dysik61', stack: '496' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.449336]:[2272]: Player: 'e.poppi', stack: '476' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.449336]:[2272]: Player: 'BIGG__FISHYY', stack: '496' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.449336]:[2272]: Player: 'finito2601', stack: '1062' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.449336]:[2272]: Player: 'dinosaur25', stack: '496' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.450336]:[2272]: Ante: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.450336]:[2272]: Player: 'csabi1790930', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.450336]:[2272]: Player: 'CLRN', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.451336]:[2272]: Player: 'londrax', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.452336]:[2272]: Player: 'dysik61', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.452336]:[2272]: Player: 'e.poppi', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.453336]:[2272]: Player: 'BIGG__FISHYY', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.453336]:[2272]: Player: 'finito2601', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.454336]:[2272]: Player: 'dinosaur25', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:10:19.460336]:[2272]: Player: 'londrax', stack: '466' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:19.461336]:[2272]: Player: 'londrax', stack: '476' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:19.461336]:[2272]: Player: 'londrax', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:19.462336]:[2272]: Player cards: ('Six' of 'Diamonds')('Ace' of 'Spades') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-03-18T16:10:21.509453]:[2272]: Player: 'e.poppi', stack: '456' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:21.509453]:[2272]: Player: 'e.poppi', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:24.304613]:[2272]: Player: 'BIGG__FISHYY', stack: '476' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:24.305613]:[2272]: Player: 'BIGG__FISHYY', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:30.751982]:[2272]: Player: 'finito2601', action: 'SecondsLeft', amount: '8' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:32.367074]:[2272]: Player: 'finito2601', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:32.368075]:[2272]: Player: 'finito2601', action: 'Raise', amount: '1062' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:34.881218]:[2272]: Player: 'dinosaur25', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:35.162234]:[2272]: Player: 'csabi1790930', stack: '496' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:35.163234]:[2272]: Player: 'csabi1790930', stack: '496' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:35.163234]:[2272]: Player: 'csabi1790930', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:38.426421]:[2272]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:38.714438]:[2272]: Player: 'londrax', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:41.753611]:[2272]: Player: 'dysik61', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:42.911678]:[2272]: Player: 'e.poppi', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:43.192694]:[2272]: Player: 'BIGG__FISHYY', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:43.193694]:[2272]: Player: 'BIGG__FISHYY', action: 'Call', amount: '476' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:43.654720]:[2272]: Player: '', action: 'ShowCards', cards: '' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:10:44.947794]:[2272]: Cards received: ('King' of 'Spades')('Six' of 'Spades')('Four' of 'Spades') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-03-18T16:10:46.952909]:[2272]: Cards received: ('King' of 'Spades')('Six' of 'Spades')('Four' of 'Spades')('Ten' of 'Clubs') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-03-18T16:10:48.516998]:[2272]: Cards received: ('King' of 'Spades')('Six' of 'Spades')('Four' of 'Spades')('Ten' of 'Clubs')('Three' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
