[TRACE  ][0][2013-05-15T15:32:28.896706]:[328]: Player: 'MP03', action: 'Call', amount: '120' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:30.061773]:[328]: Player: 'Urric45', stack: '4220' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:30.063773]:[328]: Player: 'Urric45', action: 'Call', amount: '120' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:30.681808]:[328]: Cards received: ('Ace' of 'Clubs')('Ten' of 'Hearts')('King' of 'Diamonds')('Five' of 'Hearts')('Nine' of 'Spades') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-15T15:32:35.817102]:[328]: Player: 'Observer90', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:37.899221]:[328]: Player: 'MP03', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:38.969282]:[328]: Player: 'Urric45', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:39.398307]:[328]: Player: 'Observer90', action: 'ShowCards', cards: 'As8h' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:42.043458]:[328]: Player: 'MP03', action: 'Loose', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:42.141464]:[328]: Player: 'Urric45', action: 'ShowCards', cards: 'Ah4h' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:45.138635]:[328]: Player: 'MP03', stack: '1110' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:32:45.139635]:[328]: Player: 'vana-seen', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:32:45.139635]:[328]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:32:45.141635]:[328]: Player: 'MP03', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:32:45.153636]:[328]: Player: 'vana-seen', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:32:45.158636]:[328]: Player cards: ('Seven' of 'Diamonds')('Two' of 'Spades') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-05-15T15:32:48.443824]:[328]: Player: 'Sokol0526', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:51.060974]:[328]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:57.354334]:[328]: Player: 'Urric45', stack: '4660' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:57.356334]:[328]: Player: 'Urric45', action: 'Raise', amount: '100' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:58.764414]:[328]: Player: 'nocard278', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:32:59.349448]:[328]: Player: 'Observer90', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:33:02.662637]:[328]: Player: 'MP03', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:33:02.664637]:[328]: Player: 'MP03', action: 'Raise', amount: '1120' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:33:04.540745]:[328]: Player: 'vana-seen', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:33:12.645208]:[328]: Player: 'Urric45', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:33:26.636009]:[328]: Player: 'Urric45', action: 'SecondsLeft', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:33:30.655238]:[328]: Player: 'Urric45', stack: '3640' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:33:30.657239]:[328]: Player: 'Urric45', action: 'Call', amount: '1020' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:33:31.134266]:[328]: Player: '', action: 'ShowCards', cards: '' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:33:32.792361]:[328]: Cards received: ('Three' of 'Spades')('Ace' of 'Hearts')('Queen' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
