[TRACE  ][0][2013-03-17T12:23:12.534463]:[1368]: Player: '201130', action: 'Call', amount: '1500' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:13.101495]:[1368]: Player: 'ciromenotti0', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:13.109495]:[1368]: Player: 'Davegarage', stack: '1523' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:13.110495]:[1368]: Player: 'Davegarage', stack: '1490' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:13.110495]:[1368]: Player: 'Davegarage', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:13.116496]:[1368]: Player: 'jampierreita', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:15.398626]:[1368]: Player: 'chopnbaz', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:23.782106]:[1368]: Player: 'bigchiefsosa', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:29.761448]:[1368]: Player: 'bigchiefsosa', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:29.762448]:[1368]: Player: 'bigchiefsosa', action: 'Call', amount: '1240' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:30.952516]:[1368]: Player: '', action: 'ShowCards', cards: '' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:23:31.921571]:[1368]: Cards received: ('Nine' of 'Clubs')('Three' of 'Diamonds')('Four' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-03-17T12:23:33.940687]:[1368]: Cards received: ('Nine' of 'Clubs')('Three' of 'Diamonds')('Four' of 'Hearts')('Four' of 'Clubs') /* clnt::ps::msg::FlopCards::Process */
